Topic,Detail Requirements,Category,Subject,Knowledge Level,Course Name,Course module,Course Level
IEC 104 forwarding functionality,Understand enabling and disabling IEC104 ports.,Product Knowledge,Common Dunctions,L3,TBD,TBD,TBD
IEC 104 forwarding functionality,Understand the IEC104 whitelist configuration method.,Product Knowledge,Common Dunctions,L3,TBD,TBD,TBD
Modbus forwarding functionality,Understand the function locations of Modbus.,Product Knowledge,Common Dunctions,L1,TBD,TBD,TBD
Modbus forwarding functionality,Understand the configuration method for ModbusTCP forwarding.,Product Knowledge,Common Dunctions,L3,TBD,TBD,TBD
Modbus forwarding functionality,Understand the configuration method for ModbusRTU forwarding.,Product Knowledge,Common Dunctions,L3,TBD,TBD,TBD
Modbus forwarding functionality,Understand the ModbusTCP whitelist configuration method.,Product Knowledge,Common Dunctions,L3,TBD,TBD,TBD
Network switch functionality,Understand the default factory IP address and connection method of switches.,Product Knowledge,Common Dunctions,L1,TBD,TBD,TBD
Network switch functionality,Understand the method to modify the IP address of switches.,Product Knowledge,Common Dunctions,L2,TBD,TBD,TBD
Network switch functionality,"Understand switch ring network configuration methods, including private protocol fast ring network configuration and public ring network protocol configuration.",Product Knowledge,Common Dunctions,L3,TBD,TBD,TBD
Network switch functionality,Understand on-site upgrade operations for switches.,Product Knowledge,Common Dunctions,L2,TBD,TBD,TBD
Network switch functionality,Understand the use of upper-level software on switches.,Product Knowledge,Common Dunctions,L3,TBD,TBD,TBD
N/A,Understand typical application scenarios of Nanrui vertical encryption gateways.,Product Knowledge,Common Dunctions,L2,No need,No need,No need
,Understand device activation operations for Nanrui vertical encryption gateways.,Product Knowledge,Common Dunctions,L3,No need,No need,No need
,Understand the configuration strategy and method for Nanrui vertical encryption gateways on-site.,Product Knowledge,Common Dunctions,L4,No need,No need,No need
,Proficient in using Nanrui vertical encryption gateway configuration tools to complete on-site configurations.,Product Knowledge,Common Dunctions,L4,No need,No need,No need
Modbus communication protocol,Understand the definitions and distinctions of ModbusTCP and ModbusRTU communication protocols.,Product Knowledge,Common Dunctions,L2,TBD,TBD,TBD
Modbus communication protocol,Understand the format and functions of ModbusTCP and ModbusRTU message frames.,Product Knowledge,Common Dunctions,L2,TBD,TBD,TBD
Modbus communication protocol,"Understand data type definitions in communication protocols: U16, S16, U32, S32, BOOL, U64, S64, Float.",Product Knowledge,Common Dunctions,L2,TBD,TBD,TBD
Modbus communication protocol,Understand data transmission order and data parsing order in communication protocols.,Product Knowledge,Common Dunctions,L2,TBD,TBD,TBD
Modbus communication protocol,"Understand register address types and supported function codes in communication protocols: 3x address type, 4x address type, function codes: 01, 02, 03, 04, 05, 06, 10.",Product Knowledge,Common Dunctions,L2,TBD,TBD,TBD
Modbus communication protocol,Understand the meanings of error codes in the Modbus communication protocol.,Product Knowledge,Common Dunctions,L3,TBD,TBD,TBD
Modbus communication protocol,Understand the CRC checksum types in the Modbus communication protocol.,Product Knowledge,Common Dunctions,L2,TBD,TBD,TBD
Modbus communication protocol,"Able to use serial port debugging tools to correctly read single parameters, read multiple parameters, set single parameters, and set multiple parameters.",Product Knowledge,Common Dunctions,L3,TBD,TBD,TBD
Modbus communication protocol,Able to analyze Modbus protocol messages.,Product Knowledge,Common Dunctions,L3,TBD,TBD,TBD
IEC 104 communication protocol,Understand the definition and basic message format of the IEC104 communication protocol.,Product Knowledge,Common Dunctions,L2,TBD,TBD,TBD
IEC 104 communication protocol,"Understand the meanings of the five remote signals (Telemetry, Teleprotection, Telecontrol, Teleadjustment, Telemetering) in the IEC104 communication protocol.",Product Knowledge,Common Dunctions,L2,TBD,TBD,TBD
IEC 104 communication protocol,"Understand commonly used data type identifiers in the IEC104 communication protocol, such as single-point teleprotection, double-point teleprotection, normalized value, short floating-point number, etc.",Product Knowledge,Common Dunctions,L3,TBD,TBD,TBD
IEC 104 communication protocol,"Proficient in using IEC104 tools to correctly read single parameters, read multiple parameters, set single parameters, and set multiple parameters.",Product Knowledge,Common Dunctions,L3,TBD,TBD,TBD
IEC 104 communication protocol,Proficient in using IEC104 tools to analyze IEC104 protocol messages.,Product Knowledge,Common Dunctions,L4,TBD,TBD,TBD
Electrical wiring diagrams,Identify corresponding components based on wiring diagrams/schematics.,Product Knowledge,Product Drawings,L2,3.1 Reading and Understanding Schematics,Understand Circuits,Course Level 3
Electrical wiring diagrams,Analyze working principles based on wiring diagrams/schematics.,Product Knowledge,Product Drawings,L3,3.1 Reading and Understanding Schematics,Understand Circuits,Course Level 3
Electrical wiring diagrams,Understand circuit design and ability to draw wiring diagrams/schematics.,Product Knowledge,Product Drawings,L5,No need,No need,No need
PCB schematics,Identify corresponding components based on PCB schematics.,Product Knowledge,Product Drawings,L4,No need,No need,No need
PCB schematics,Analyze working principles based on PCB schematics.,Product Knowledge,Product Drawings,L5,No need,No need,No need
Installation diagrams for ITS (inverter transformer station) and foundation,Guide customers in installation based on installation diagrams inverter-transformer stations.,Product Knowledge,Product Drawings,L2,2.1 SG Central Inverter Installation,Installation Guidelines,Course Level 2
Installation diagrams for ITS (inverter transformer station) and foundation,Understand design principles and ability to draw installation diagrams of inverter-transformer stations.,Product Knowledge,Product Drawings,L5,No need,No need,No need
Inverter PCB boards,Understand the PCB component names of the product and be able to query the material codes and numbers of PCB components through barcodes.,Product Knowledge,PCB Boards,L1,No need,No need,No need
Inverter PCB boards,Understand the meanings of interfaces on various PCB boards of the product and Understand the circuit functions and their purposes.,Product Knowledge,PCB Boards,L2,No need,No need,No need
Inverter PCB boards,Understand the layout of PCB boards inside the product.,Product Knowledge,PCB Boards,L2,No need,No need,No need
Inverter PCB boards,Be able to identify the main circuit and secondary circuits within PCB board components based on the circuit schematic.,Product Knowledge,PCB Boards,L3,No need,No need,No need
DC load switches and DC circuit breakers,Understand specifications of DC Load Switches/Circuit Breakers.,Product Knowledge,Key Components,L2,3.2 Advanced Troubleshooting for SG Central Inverters,Troubleshooting Component Faults,Course Level 3
DC load switches and DC circuit breakers,Understand function of DC Load Switches/Circuit Breakers.,Product Knowledge,Key Components,L3,3.2 Advanced Troubleshooting for SG Central Inverters,Troubleshooting Component Faults,Course Level 3
DC load switches and DC circuit breakers,Understand fault diagnosis of DC Load Switches/Circuit Breakers.,Product Knowledge,Key Components,L4,3.2 Advanced Troubleshooting for SG Central Inverters,Troubleshooting Component Faults,Course Level 3
DC load switches and DC circuit breakers,Understand standards of DC Load Switches/Circuit Breakers.,Product Knowledge,Key Components,L5,No need,No need,No need
Cooling fans,Understand specifications of cooling fans.,Product Knowledge,Key Components,L2,3.2 Advanced Troubleshooting for SG Central Inverters,Troubleshooting Component Faults,Course Level 3
Cooling fans,Understand function of cooling fans.,Product Knowledge,Key Components,L3,3.2 Advanced Troubleshooting for SG Central Inverters,Troubleshooting Component Faults,Course Level 3
Cooling fans,Understand fault diagnosis of cooling fans.,Product Knowledge,Key Components,L3,3.2 Advanced Troubleshooting for SG Central Inverters,Troubleshooting Component Faults,Course Level 3
Cooling fans,Understand criteria/standards for selecting cooling fans.,Product Knowledge,Key Components,L4,No need,No need,No need
AC and DC capacitors,Understand function of AC and DC capacitors.,Product Knowledge,Key Components,L3,3.2 Advanced Troubleshooting for SG Central Inverters,Troubleshooting Component Faults,Course Level 3
AC and DC capacitors,"Understand brands, specifications, and datasheets of AC and DC capacitors.",Product Knowledge,Key Components,L4,No need,No need,No need
AC and DC capacitors,Understand methods for evaluating lifespan of AC and DC capacitors.,Product Knowledge,Key Components,L4,No need,No need,No need
AC and DC capacitors,Understand fault diagnosis of AC and DC capacitors.,Product Knowledge,Key Components,L5,No need,No need,No need
AC and DC capacitors,Understand criteria/Standards for selecting AC and DC capacitors.,Product Knowledge,Key Components,L4,No need,No need,No need
IGBT power modules,Understand function of inverter power modules.,Product Knowledge,Key Components,L3,3.2 Advanced Troubleshooting for SG Central Inverters,Troubleshooting Component Faults,Course Level 3
IGBT power modules,"Understand brands, specifications, and pin definitions of inverter power modules.",Product Knowledge,Key Components,L4,No need,No need,No need
IGBT power modules,Understand packaging and measurement methods of inverter power modules.,Product Knowledge,Key Components,L4,No need,No need,No need
IGBT power modules,Understand design of driver circuits for inverter power modules.,Product Knowledge,Key Components,L5,No need,No need,No need
IGBT power modules,Understand withstand voltage capabilities and application methods of inverter power modules.,Product Knowledge,Key Components,L4,No need,No need,No need
IGBT power modules,"Understand failure modes, phenomena, possible causes of inverter power modules",Product Knowledge,Key Components,L5,No need,No need,No need
AC contactors and AC frame circuit breakers,Understand functions of relays and meanings of normally closed and normally open contacts.,Product Knowledge,Key Components,L3,3.2 Advanced Troubleshooting for SG Central Inverters,Troubleshooting Component Faults,Course Level 3
AC contactors and AC frame circuit breakers,Understand component specifications.,Product Knowledge,Key Components,L3,3.2 Advanced Troubleshooting for SG Central Inverters,Troubleshooting Component Faults,Course Level 3
AC contactors and AC frame circuit breakers,Understand working principles of AC Contactors/Circuit Breakers.,Product Knowledge,Key Components,L3,3.2 Advanced Troubleshooting for SG Central Inverters,Troubleshooting Component Faults,Course Level 3
AC contactors and AC frame circuit breakers,Understand operation time of AC Contactors/Circuit Breakers.,Product Knowledge,Key Components,L4,No need,No need,No need
AC contactors and AC frame circuit breakers,Understand fault diagnosis in AC Contactors/Circuit Breakers.,Product Knowledge,Key Components,L3,3.2 Advanced Troubleshooting for SG Central Inverters,Troubleshooting Component Faults,Course Level 3
Reactors (Inductor),Understand function of reactors.,Product Knowledge,Key Components,L3,3.2 Advanced Troubleshooting for SG Central Inverters,Troubleshooting Component Faults,Course Level 3
Reactors (Inductor),Understand brands and specifications of reactors.,Product Knowledge,Key Components,L4,No need,No need,No need
Reactors (Inductor),Understand methods for measuring inductance of reactors.,Product Knowledge,Key Components,L4,No need,No need,No need
Reactors (Inductor),Understand noise causes of reactors.,Product Knowledge,Key Components,L4,No need,No need,No need
Reactors (Inductor),Understand fault diagnosis of reactors.,Product Knowledge,Key Components,L4,No need,No need,No need
"Current sensors (AC, DC, leakage)","Understand specifications of current sensors (AC, DC, leakage).",Product Knowledge,Key Components,L2,3.2 Advanced Troubleshooting for SG Central Inverters,Troubleshooting Component Faults,Course Level 3
"Current sensors (AC, DC, leakage)","Understand function of current sensors (AC, DC, leakage).",Product Knowledge,Key Components,L4,3.2 Advanced Troubleshooting for SG Central Inverters,Troubleshooting Component Faults,Course Level 3
"Current sensors (AC, DC, leakage)","Understand  of current sensors (AC, DC, leakage).",Product Knowledge,Key Components,L4,3.2 Advanced Troubleshooting for SG Central Inverters,Troubleshooting Component Faults,Course Level 3
"Current sensors (AC, DC, leakage)","Understand criteria/standerds for selecting current sensors (AC, DC, leakage).",Product Knowledge,Key Components,L4,No need,No need,No need
AC and DC surge protective devices (SPD),Understand specifications of AC and DC surge protectors.,Product Knowledge,Key Components,L2,3.2 Advanced Troubleshooting for SG Central Inverters,Troubleshooting Component Faults,Course Level 3
AC and DC surge protective devices (SPD),Understand functions of AC and DC surge protectors.,Product Knowledge,Key Components,L4,3.2 Advanced Troubleshooting for SG Central Inverters,Troubleshooting Component Faults,Course Level 3
AC and DC surge protective devices (SPD),Understand fault diagnosis of AC and DC surge protectors.,Product Knowledge,Key Components,L4,3.2 Advanced Troubleshooting for SG Central Inverters,Troubleshooting Component Faults,Course Level 3
AC and DC surge protective devices (SPD),Understand criteria/Standards for selecting AC and DC surge protectors.,Product Knowledge,Key Components,L4,No need,No need,No need
Components of Photovoltaic (PV) system,"Understand the key components of a photovoltaic system, understanding the functions and basic working principles of key equipment, and being able to draw a schematic diagram of a photovoltaic system.",Product Knowledge,PV power Systems and Application Solutions,L1,Basics of Photovoltaic (PV) Power Systems,,Pre-course
PV modules,"Understand the functions of photovoltaic panels, the meaning of various parameters on the panel nameplate, and an understanding of STC (Standard Test Conditions) testing conditions.",Product Knowledge,PV power Systems and Application Solutions,L1,Basics of Photovoltaic (PV) Power Systems,,Pre-course
PV modules,Understand IV characteristics and PV characteristics curves of photovoltaic panels.,Product Knowledge,PV power Systems and Application Solutions,L3,TBD,TBD,TBD
PV modules,Understand the specification parameters of photovoltaic modules (differences between 210 modules and 182 modules).,Product Knowledge,PV power Systems and Application Solutions,L2,TBD,TBD,TBD
PV modules,"Understand the relationship between voltage, power, irradiance, and temperature of photovoltaic modules (short-circuit current temperature coefficient, open-circuit voltage temperature coefficient, peak power temperature coefficient, etc.).",Product Knowledge,PV power Systems and Application Solutions,L3,TBD,TBD,TBD
PV modules,"Understanding the voltage design for the series connection of photovoltaic modules, and the ability to calculate the string voltage for different series connection schemes based on module specifications and local temperatures.",Product Knowledge,PV power Systems and Application Solutions,L3,TBD,TBD,TBD
PV modules,"Understanding the impact and causes of issues such as hotspots, micro-cracks, decay, PID, etc., in photovoltaic modules.",Product Knowledge,PV power Systems and Application Solutions,L4,TBD,TBD,TBD
PV modules,"Understanding how factors such as orientation, tilt angle, series connection, parallel connection, shading, etc., affect the power generation of photovoltaic modules.",Product Knowledge,PV power Systems and Application Solutions,L3,TBD,TBD,TBD
Medium-voltage transformers,"Understand the functions of transformers and understanding the meanings of various parameters on the transformer nameplate (such as rated capacity, voltage, current, frequency, connection group, tap range, short-circuit impedance, cooling method, winding type, etc.).",Product Knowledge,PV power Systems and Application Solutions,L1,1.1 Introduction to SG Central Inverters in North America,Technical Specifications,Course Level 1
Medium-voltage transformers,Understanding the differences and advantages/disadvantages of dual-split transformers and dual-winding transformers.,Product Knowledge,PV power Systems and Application Solutions,L2,No need,No need,No need
Medium-voltage transformers,"Understand the structural layout and system composition of medium-voltage transformers, and the ability to understand primary system diagrams.",Product Knowledge,PV power Systems and Application Solutions,L2,TBD,TBD,TBD
Medium-voltage transformers,"Understand functions of major components in low-voltage distribution cabinets (molded case circuit breakers, AC frame circuit breakers, fuses, disconnect switches, etc.).",Product Knowledge,PV power Systems and Application Solutions,L2,TBD,TBD,TBD
Medium-voltage transformers,"Understand the functions and roles of major components in transformers (low-voltage bushing, oil level thermometer, winding thermometer, high-voltage bushing, gas relay, pressure relief valve, oil level gauge, tap changer, gas relay, pressure gauge, load switch, etc.).",Product Knowledge,PV power Systems and Application Solutions,L2,TBD,TBD,TBD
Medium-voltage transformers,"Understand the characteristics and advantages/disadvantages of dry-type transformers and oil-immersed transformers, as well as the differences and advantages/disadvantages between European-style and American-style transformers.",Product Knowledge,PV power Systems and Application Solutions,L3,No need,No need,No need
Medium-voltage transformers,Understand the heat dissipation design of MVS (Medium Voltage Switchgear) products.,Product Knowledge,PV power Systems and Application Solutions,L2,TBD,TBD,TBD
Medium-voltage transformers,Understand the efficiency specifications of MVS products.,Product Knowledge,PV power Systems and Application Solutions,L3,TBD,TBD,TBD
N/A,Understand the functions and differences between AGC (Automatic Generation Control) and AVC (Automatic Voltage Control).,Product Knowledge,PV power Systems and Application Solutions,L2,No need,No need,No need
N/A,Understand on-site AGC/AVC tuning and testing procedures.,Product Knowledge,PV power Systems and Application Solutions,L3,No need,No need,No need
N/A,"Understand the functions, characteristics, and differences between SVC (Static Var Compensator) and SVG (Static Var Generator).",Product Knowledge,PV power Systems and Application Solutions,L3,No need,No need,No need
Monitoring and communication devices,Understanding the communication interfaces of various types of equipment within a photovoltaic system.,Product Knowledge,PV power Systems and Application Solutions,L3,TBD,TBD,TBD
Monitoring and communication devices,Understanding the communication networking methods of various types of equipment within a photovoltaic system.,Product Knowledge,PV power Systems and Application Solutions,L3,TBD,TBD,TBD
Monitoring and communication devices,Understanding common communication topologies in local monitoring systems of photovoltaic systems.,Product Knowledge,PV power Systems and Application Solutions,L3,TBD,TBD,TBD
Monitoring and communication devices,Understanding the composition of photovoltaic system optical fiber ring networks and communication protocols.,Product Knowledge,PV power Systems and Application Solutions,L3,TBD,TBD,TBD
Monitoring and communication devices,"Understanding the product spectrum of our monitoring products: Sunshine Cloud, Insight Monitoring System, Intelligent Communication Box, Data Collector, Wireless Communication Module, etc.",Product Knowledge,PV power Systems and Application Solutions,L4,TBD,TBD,TBD
Inverter integration design in PV power system,Understanding the principle of LCOE (Levelized Cost of Energy) minimization and the calculation formula for LCOE.,Product Knowledge,PV power Systems and Application Solutions,L4,TBD,TBD,TBD
Inverter integration design in PV power system,Understand the design of photovoltaic module configurations and recommended capacity ratios for different resource areas.,Product Knowledge,PV power Systems and Application Solutions,L2,TBD,TBD,TBD
Inverter integration design in PV power system,"Understand the design of series connections for photovoltaic modules, with the ability to calculate the number of modules suitable for inverters based on module parameters and local temperatures.",Product Knowledge,PV power Systems and Application Solutions,L2,TBD,TBD,TBD
Inverter integration design in PV power system,"Understanding the impact of shading on solar panel generation, and understanding the design of module tilt, orientation, layout, and array spacing.",Product Knowledge,PV power Systems and Application Solutions,L3,TBD,TBD,TBD
Inverter integration design in PV power system,"Understanding the functions of low-voltage switchgear, with the ability to recommend appropriate specifications for molded case circuit breakers or fuses + isolation switches based on inverter parameters. Also, understanding the need for insulation and isolation design inside the switchgear to mitigate the effects of arc flash from molded case circuit breakers on other branch circuit breakers.",Product Knowledge,PV power Systems and Application Solutions,L3,TBD,TBD,TBD
Inverter integration design in PV power system,"The ability to recommend transformer capacity, short-circuit impedance, and other requirements based on inverter and photovoltaic configurations, as well as the ability to calculate low-voltage side short-circuit currents.",Product Knowledge,PV power Systems and Application Solutions,L3,TBD,TBD,TBD
Inverter integration design in PV power system,"Understanding the types and specifications of AC and DC cables (temperature, voltage withstand, thermal resistance coefficient, impedance, current-carrying capacity).",Product Knowledge,PV power Systems and Application Solutions,L3,TBD,TBD,TBD
Inverter integration design in PV power system,Understand monitoring systems and communication network configurations.,Product Knowledge,PV power Systems and Application Solutions,L3,TBD,TBD,TBD
Medium voltage awitchgear or Ring Main Unit,"Understand the functions of ring main units, as well as the meanings of various parameters on the ring main unit nameplate (such as rated voltage, current, frequency, short-time withstand current, busbar rated current, protection level, etc.).",Product Knowledge,PV power Systems and Application Solutions,L2,No need,No need,No need
Medium voltage awitchgear or Ring Main Unit,"Understand the main components of ring main units (protection relay, circuit breaker, load switch, grounding switch, isolation switch, high-voltage cable joint, CT, PT, surge arrester, five-proof device, etc.) and their functions.",Product Knowledge,PV power Systems and Application Solutions,L2,No need,No need,No need
Product Installation environmental requirements,Understand product's installation ambient temperature and humidity requirements.,Installation,Installation requirements,L1,2.1 SG Central Inverter Installation,Instaillation Requirements,Course Level 2
Product Installation space requirements,Understand spacing requirements between inverters when installing multiple inverters (space dimension requirements).,Installation,Installation requirements,L1,2.1 SG Central Inverter Installation,Instaillation Requirements,Course Level 2
Product Installation angle requirements (DC combiner box),"Understand usage scenarios and design requirements for rear-tilted installation of product, including tilt angles, inverter installation height, cable fastening, etc.",Installation,Installation requirements,L1,No need,No need,No need
Product Installation foundation requirements,Understand load-bearing requirements and material requirements of installation carrier.,Installation,Installation requirements,L2,2.1 SG Central Inverter Installation,Instaillation Requirements,Course Level 2
Product unpacking and installation precautions,"Check completeness of packaging accessories, product exterior damage, and conduct water ingress inspections, etc.",Installation,Unpacking and Storage,L1,2.1 SG Central Inverter Installation,"Storage, Lifting, and Transportation",Course Level 2
Product storage requirements,"Check storage temperature and humidity, and inspect inverter's interior for abnormalities, etc.",Installation,Unpacking and Storage,L1,2.1 SG Central Inverter Installation,"Storage, Lifting, and Transportation",Course Level 2
Product lifting and transportation,Guide on-site lifting and transportation according to system manual.,Installation,Transportation and Hoisting Requirements,L1,2.1 SG Central Inverter Installation,"Storage, Lifting, and Transportation",Course Level 2
Product forklift transportation,Guide on-site forklift transportation according to system manual.,Installation,Transportation and Hoisting Requirements,L1,2.1 SG Central Inverter Installation,"Storage, Lifting, and Transportation",Course Level 2
Install the inverter to foundation,Guide on-site installation of inverters and foundation bases according to system manual.,Installation,Installation,L2,2.1 SG Central Inverter Installation,Installation Guidelines,Course Level 2
Install the inverter to foundation,"Installation foundation surface shows no significant inclination, and the horizontal plane inclination angle is less than 5 degrees.",Installation,Installation,L1,2.1 SG Central Inverter Installation,Installation Guidelines,Course Level 2
Inverter DC side cable connection,Understand product's DC-side wiring area.,Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Inverter DC side cable connection,Understand wire diameter and voltage level requirements for DC cables.,Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Inverter DC side cable connection,Understand maximum allowable current requirements for DC connectors.,Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Inverter DC side cable connection,Understand differences in DC cable specifications and strict prohibition of using cables with different specifications for connection.,Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Inverter DC side cable connection,Ability to identify positive and negative poles of AC cables.,Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Inverter DC side cable connection,Always choose flame-retardant cables.,Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Inverter DC side cable connection,"Ensure that output circuit breakers of preceding combiner boxes are all in ""open"" state during wiring.",Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Inverter DC side cable connection,Understand creating openings at designated bottom position and threading cables through these openings upon completion.,Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Inverter DC side cable connection,"Understand specifications of OT/DT terminals, and understanding that aluminum wires must use copper-aluminum transition terminals.",Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Inverter DC side cable connection,Secure terminals to wiring holes with reasonable torque when connecting them using bolts.,Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Inverter DC side cable connection,"Check for any heat-shrink tubing that might be pinched at connection point of terminals with copper busbar, and remove it immediately if found.",Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Inverter DC side cable connection,Ensure that DC cable has a ground resistance of ≤4Ω as required.,Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Inverter DC side cable connection,Check for any grounding faults in cables.,Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Inverter DC side cable connection,"Ensure that cables are properly secured and not subject to stress, with fixation located 1 meter below terminals.",Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Inverter DC side cable connection,Understand cable labeling and corresponding rules.,Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Inverter DC side cable connection,"Seal bottom cable entry holes with fire-resistant sealant, remove any debris from DC cabinet, and close and lock DC cabinet door.",Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Inverter AC side cable connection,Understand product's AC-side wiring area.,Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Inverter AC side cable connection,Understand wire diameter and voltage level requirements for AC cables.,Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Inverter AC side cable connection,Understand maximum allowable current requirements for AC connectors.,Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Inverter AC side cable connection,Understand differences in AC cable specifications and strict prohibition of using cables with different specifications for connection.,Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Inverter AC side cable connection,Ability to identify phase sequence of AC cables.,Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Inverter AC side cable connection,Always choose flame-retardant cables.,Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Inverter AC side cable connection,"Ensure that both AC cables and high-voltage side circuit breakers are in ""open"" state during wiring.",Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Inverter AC side cable connection,Understand creating openings at designated bottom position and threading cables through these openings upon completion.,Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Inverter AC side cable connection,"Understand specifications of OT/DT terminals, and understanding that aluminum wires must use copper-aluminum transition terminals.",Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Inverter AC side cable connection,Secure terminals to wiring holes with reasonable torque when connecting them using bolts.,Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Inverter AC side cable connection,"Check for any heat-shrink tubing that might be pinched at connection point of terminals with copper busbar, and remove it immediately if found.",Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Inverter AC side cable connection,Ensure that AC cable has a ground resistance of ≤4Ω as required.,Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Inverter AC side cable connection,Check for any grounding faults in cables.,Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Inverter AC side cable connection,"Ensure that cables are properly secured and not subject to stress, with fixation located 1 meter below terminals.",Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Inverter AC side cable connection,Understand cable labeling and corresponding rules.,Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Inverter AC side cable connection,"Seal bottom cable entry holes with fire-resistant sealant, remove any debris from high-voltage chamber, and close and lock high-voltage chamber cabinet door.",Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Grounding cable connection,Understand cross-sectional area requirements of grounding cables and grounding flat iron.,Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Grounding cable connection,Understand requirement of having a grounding impedance of ≤4Ω.,Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Grounding cable connection,Understanding requirement for equipment grounding to be connected as close as possible.,Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Grounding cable connection,Understand grounding locations for inverters (integrated machines) at two different sites.,Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Grounding cable connection,Applying anti-corrosion measures at grounding terminal locations and providing visible grounding labels.,Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Communication cable connection (Modbus RTU/TCP).,Understand entry area for communication cables.,Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Communication cable connection (Modbus RTU/TCP).,Understand specifications of communication cables.,Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Communication cable connection (Modbus RTU/TCP).,"Understanding length requirements for communication cables (Modbus RTU <1000m, Modbus TCP <100m).",Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Communication cable connection (Modbus RTU/TCP).,Understand RS485 interface definition and daisy-chain wiring methods.,Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Communication cable connection (Modbus RTU/TCP).,Understand requirements for laying communication cables.,Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
Auxiliary power cable connection,Understand entry area for auxiliary power supply cables.,Installation,Electrical connections,L1,2.1 SG Central Inverter Installation,Cable and Wiring Guidelines,Course Level 2
